Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,LSRAM 18K,Math (18x18),Chip Globals,PLL
CLOCKS_RESETS_0/CCC_100MHz_0/CCC_100MHz_0/Primitives,0,0,0,0,0,0,0,0,1,1
CLOCKS_RESETS_0/Primitives,1,0,0,0,0,0,0,0,0,0
CLOCKS_RESETS_0/RCOSC_0/RCOSC_0/Primitives,0,0,0,0,0,0,0,0,1,0
CLOCKS_RESETS_0/reset_synchronizer_0/Primitives,0,2,0,0,0,0,0,0,0,0
IO_0/AHB_MMIO_0/AHB_MMIO_0/matrix4x16/masterstage_0/Primitives,75,36,0,0,0,0,0,0,0,0
IO_0/AHB_MMIO_0/AHB_MMIO_0/matrix4x16/masterstage_0/default_slave_sm/Primitives,2,1,0,0,0,0,0,0,0,0
IO_0/AHB_MMIO_0/AHB_MMIO_0/matrix4x16/slavestage_6/Primitives,13,1,0,0,0,0,0,0,0,0
IO_0/AHB_MMIO_0/AHB_MMIO_0/matrix4x16/slavestage_6/slave_arbiter/Primitives,17,13,0,0,0,0,0,0,0,0
IO_0/AHB_MMIO_0/AHB_MMIO_0/matrix4x16/slavestage_7/Primitives,53,1,0,0,0,0,0,0,0,0
IO_0/AHB_MMIO_0/AHB_MMIO_0/matrix4x16/slavestage_7/slave_arbiter/Primitives,17,13,0,0,0,0,0,0,0,0
IO_0/AHBtoAPB_0/AHBtoAPB_0/U_AhbToApbSM/Primitives,23,9,0,0,0,0,0,0,0,0
IO_0/AHBtoAPB_0/AHBtoAPB_0/U_ApbAddrData/Primitives,13,40,0,0,0,0,0,0,0,0
IO_0/AHBtoAPB_0/AHBtoAPB_0/U_PenableScheduler/Primitives,2,2,0,0,0,0,0,0,0,0
IO_0/APB_PERIPHERALS_0/APB_PERIPHERALS_0/Primitives,4,0,0,0,0,0,0,0,0,0
IO_0/APB_PERIPHERALS_0/APB_PERIPHERALS_0/u_mux_p_to_b3/Primitives,35,0,0,0,0,0,0,0,0,0
IO_0/CoreSPI_0_0/CoreSPI_0_0/USPI/Primitives,3,0,0,0,0,0,0,0,0,0
IO_0/CoreSPI_0_0/CoreSPI_0_0/USPI/UCC/Primitives,161,135,0,0,0,0,0,0,0,0
IO_0/CoreSPI_0_0/CoreSPI_0_0/USPI/UCC/UCLKMUX1/Primitives,1,0,0,0,0,0,0,0,0,0
IO_0/CoreSPI_0_0/CoreSPI_0_0/USPI/UCON/Primitives,8,0,0,0,0,0,0,0,0,0
IO_0/CoreSPI_0_0/CoreSPI_0_0/USPI/URF/Primitives,72,43,0,0,0,0,0,0,0,0
