Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,LSRAM 18K,Math (18x18),Chip Globals,PLL,DLL
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/genblk2.mstAHBtoAXI4Conv/AHB_SM_i/Primitives,265,98,0,0,0,0,0,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_ARChan/Primitives,119,90,0,0,0,0,0,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_AWChan/Primitives,129,89,0,0,0,0,0,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_BChan/brespCtrl/Primitives,6,2,0,0,0,0,0,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_BChan/cmd_fifo/fifo_ctrl_inst/Primitives,37,16,0,0,0,0,0,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_BChan/cmd_fifo/genblk1[0].ram/Primitives,2,0,0,0,0,0,0,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_BChan/cmd_fifo/genblk1[0].ram/mem_mem_0_0/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/RChan_Ctrl/Primitives,121,28,0,0,0,0,0,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/data_fifo/Primitives,32,32,0,0,0,0,0,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/data_fifo/fifo_ctrl_inst/Primitives,39,16,0,0,0,0,0,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/data_fifo/ram/Primitives,6,0,0,0,0,0,0,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/data_fifo/ram/mem_mem_0_0/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/data_fifo/ram/mem_mem_0_1/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/data_fifo/ram/mem_mem_0_2/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/data_fifo/ram/mem_mem_0_3/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/data_fifo/ram/mem_mem_0_4/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/data_fifo/ram/mem_mem_0_5/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/preCalcRChan_Ctrl/DWC_DownConv_Calc_Hold_Reg_Ctrl/Primitives,2,1,0,0,0,0,0,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/preCalcRChan_Ctrl/Primitives,19,32,0,0,0,0,0,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/rd_cmd_mst/fifo_ctrl_inst/Primitives,32,13,0,0,0,0,0,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/rd_cmd_mst/genblk1[0].ram/Primitives,7,0,0,0,0,0,0,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/rd_cmd_mst/genblk1[0].ram/mem_mem_0_0/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/rd_cmd_mst/genblk1[0].ram/mem_mem_0_1/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
AXI4_interconnect_0/AXI4_interconnect_0/MstConvertor_loop[0].mstrconv/mstrDWC/genblk1.MstUpConv/DWC_RChan/rd_cmd_mst/genblk1[0].ram/mem_mem_0_2/Primitives,0,0,12,12,0,0,1,0,0,0,0,0
