
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. TOP, 16791, 22823, 3978, 0, 2, 50, 127, 8, 49
.	. AXI4_interconnect, 1969, 2615, 428, 0, 0, 0, 60, 1, 0
.	.	. COREAXI4INTERCONNECT_Z2, 1969, 2615, 428, 0, 0, 0, 60, 1, 0
.	.	.	. caxi4interconnect_MasterConvertor_Z4, 1195, 1733, 18, 0, 0, 0, 21, 0, 0
.	.	.	.	. caxi4interconnect_MstrAHBtoAXI4Converter_32s_32s_1s_0_4s_8_0, 98, 266, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_AHB_SM_Z5, 98, 266, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_MstrDataWidthConv_2_0s_8s_4s_32s_64s_32s_1s_10s_16, 633, 1222, 18, 0, 0, 0, 21, 0, 0
.	.	.	.	.	. caxi4interconnect_UpConverter_4s_32s_10s_8s_64s_32s_64s_1s_16, 633, 1222, 18, 0, 0, 0, 21, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_AChannel_32s_4s_1s_32s_64s_30s_0_1_0, 90, 119, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_AChannel_32s_4s_1s_32s_64s_30s_0_1_1, 89, 129, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_BChannel_4s_1s_10s, 18, 45, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_brespCtrl_1s_4s, 2, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_10s_5s_5s_9s_0s_10s_4s_0s_9s, 16, 39, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_10s_9s_0s_4s_16s_6s_1_0, 16, 37, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_10s_4s_5s, 0, 2, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_RChannel_4s_1s_16s_8s_64s_32s, 138, 292, 6, 0, 0, 0, 10, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_RChan_Ctrl_64s_32s_4s, 28, 115, 6, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_preCalcRChan_Ctrl_64s_32s_1s_4s, 33, 21, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_Hold_Reg_Ctrl_2_1, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_8s_29s_29s_7s_1s_8s_3s_1s_7s, 13, 39, 0, 0, 0, 0, 3, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_8s_7s_1s_3s_8s_0s, 13, 32, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_8s_3s_29s, 0, 7, 0, 0, 0, 0, 3, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_downsizing_16s_2s_2s_0s_15s_0s_16s_4s_0s_15s, 16, 40, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_16s_15s_0s_4s_16s_0s, 16, 39, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_16s_4s_2s, 0, 1, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_downsizing_16s_64s_32s_1s_15s_1s_16s_4s_1s_15s, 48, 77, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_16s_15s_1s_4s_16s_0s, 16, 39, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_16s_4s_65s, 0, 6, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_WChannel_Z3, 152, 402, 8, 0, 0, 0, 10, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_WChan_Hold_Reg_32s_1s_64s_8s, 25, 15, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_Hold_Reg_Ctrl_0, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_WChan_ReadDataFifoCtrl_3s_4s_0_1, 32, 78, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_Wchan_WriteDataFifoCtrl_32s_1s_64s_4s_2s_8s_3s, 46, 107, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_10s_25s_25s_9s_0s_10s_4s_0s_9s, 16, 43, 0, 0, 0, 0, 3, 0, 0
